MITA Inventory Number,Software Support,Hardware Support,Make,Model,Asset Type,Serial Number,Organisation,Department,Domain,Notes,Written Off,Site,Section,Order Number,Date Commissioned,Date Warranty Expires,User Assigned,Asset SLA,Warranty Expired?
320873,DSK-4sight-GOV1/GOZ,DSK-HW-FGL,HP,ProBook 445R G9,Laptop,5CD310FWP5,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,9354,17/10/2024,17/10/2027,scici024 - Ian Scicluna Laiviera,Gov Workstation,No
320889,IMU MEEP,DSK-HW-FGL,HP,ProBook 445R G9,Laptop,5CD3236PB9,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,No MITA Domain,,No,Barriera Wharf - MEEC,Information Management Unit,9367,29/10/2024,29/10/2027,store,No Desktop SLA,No
320894,DSK-4sight-GOV1/GOZ,DSK-HW-FGL,HP,ProBook 445R G9,Laptop,5CD3236PB0,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,9367,29/10/2024,29/10/2027,store,Gov Workstation,No
320902,DSK-4sight-GOV1/GOZ,DSK-HW-FGL,HP,ProBook 445R G9,Laptop,5CD3236PB3,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,9367,29/10/2024,29/10/2027,store,Gov Workstation,No
325319,DSK-4sight-GOV1/GOZ,DSK-HW-FGL,HP,ProBook 445R G9,Laptop,5CD3236PHC,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,9517,31/01/2025,31/01/2028,aquig046 - Gary Aquilina,Gov Workstation,No
343217,DSK-4sight-GOV1/GOZ,DSK-HW-Merlin,Asus,Expertbook,Laptop,T8NXCV18711335D,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,9753,16/10/2025,16/10/2028,cutaa122 - Abigail Cutajar,Gov Workstation,No
343221,DSK-4sight-GOV1/GOZ,DSK-HW-Merlin,Asus,Expertbook,Laptop,T8NXCV186987350,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,9753,16/10/2025,16/10/2028,store,Gov Workstation,No
343222,DSK-4sight-GOV1/GOZ,DSK-HW-Merlin,Asus,Expertbook,Laptop,T8NXCV18713035B,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,9753,16/10/2025,16/10/2028,carum323 - Matthew Caruana,Gov Workstation,No
343223,DSK-4sight-GOV1/GOZ,DSK-HW-Merlin,Asus,Expertbook,Laptop,T8NXCV187127358,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,9753,16/10/2025,16/10/2028,store,Gov Workstation,No
343224,DSK-4sight-GOV1/GOZ,DSK-HW-Merlin,Asus,Expertbook,Laptop,T8NXCV187116358,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,9753,16/10/2025,16/10/2028,bugej172 - Jake Bugeja,Gov Workstation,No
343225,DSK-4sight-GOV1/GOZ,DSK-HW-Merlin,Asus,Expertbook,Laptop,T8NXCV187185350,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,9753,16/10/2025,16/10/2028,store,Gov Workstation,No
343226,DSK-4sight-GOV1/GOZ,DSK-HW-Merlin,Asus,Expertbook,Laptop,T8NXCV187096355,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,9753,16/10/2025,16/10/2028,store,Gov Workstation,No
346834,DSK-4sight-GOV1/GOZ,DSK-HW-SG,DELL,Latitude 3550,Laptop,63MYGC4,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,9868,16/10/2025,16/10/2028,store - pending works,Gov Workstation,No
346838,DSK-4sight-GOV1/GOZ,DSK-HW-SG,DELL,Latitude 3550,Laptop,92MYGC4,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,9868,16/10/2025,16/10/2028,store,Gov Workstation,No
